date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:30	23888/23888	---MCZ	200	added ('OK')	text/html	etag:%22a404224576ad748ce99870cb2ef74a4a-ssl-df%22	https://rcventures.co.in/industrial_crates.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/industrial_crates.html	(from https://rcventures.co.in/)
14:22:31	15989/15989	---MCZ	200	added ('OK')	text/html	etag:%226f0a42346cc93c823fab5aea7236f767-ssl-df%22	https://rcventures.co.in/storagerackingbins.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/storagerackingbins.html	(from https://rcventures.co.in/)
14:22:32	12201/12201	---MCZ	200	added ('OK')	text/html	etag:%226ad754a63bb4f634102b274d91472707-ssl-df%22	https://rcventures.co.in/jumbocrates.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/jumbocrates.html	(from https://rcventures.co.in/)
14:22:34	15571/15571	---MCZ	200	added ('OK')	text/html	etag:%22f67ea3a9cafca35b2efddafc69fb8063-ssl-df%22	https://rcventures.co.in/rotocrates.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/rotocrates.html	(from https://rcventures.co.in/)
14:22:35	14931/14931	---MCZ	200	added ('OK')	text/html	etag:%22d40a3430bc3bd56febbefa7f2c93ee00-ssl-df%22	https://rcventures.co.in/fabricationcrates.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/fabricationcrates.html	(from https://rcventures.co.in/)
14:22:36	11970/11970	---MCZ	200	added ('OK')	text/html	etag:%226042a0b9219b495ea642eb4cb3809d14-ssl-df%22	https://rcventures.co.in/accessories.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/accessories.html	(from https://rcventures.co.in/)
14:22:37	12220/12220	---MCZ	200	added ('OK')	text/html	etag:%22f3a86e454dc2535b848595915d30ee34-ssl-df%22	https://rcventures.co.in/antistaticcrates.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/antistaticcrates.html	(from https://rcventures.co.in/)
14:22:38	14127/14127	---MCZ	200	added ('OK')	text/html	etag:%226a699a8716d309cc4414599f941f8663-ssl-df%22	https://rcventures.co.in/fruit_vegetables_crates.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/fruit_vegetables_crates.html	(from https://rcventures.co.in/)
14:22:39	13143/13143	---MCZ	200	added ('OK')	text/html	etag:%227c64a9ad5c9b5b66d8a8b3c99cf1dd83-ssl-df%22	https://rcventures.co.in/dairy_crates.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/dairy_crates.html	(from https://rcventures.co.in/)
14:22:41	11962/11962	---MCZ	200	added ('OK')	text/html	etag:%2225dbf10af11039679e7eedb707a90a7a-ssl-df%22	https://rcventures.co.in/bottle_crates.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/bottle_crates.html	(from https://rcventures.co.in/)
14:22:42	13517/13517	---MCZ	200	added ('OK')	text/html	etag:%226b678666c3a07dc0d2e02f8729cf993d-ssl-df%22	https://rcventures.co.in/fish_crates.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/fish_crates.html	(from https://rcventures.co.in/)
14:22:43	15360/15360	---MCZ	200	added ('OK')	text/html	etag:%2278dc683dc7e5f06d87d3ff8753323abb-ssl-df%22	https://rcventures.co.in/ice_box.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/ice_box.html	(from https://rcventures.co.in/)
14:22:44	11914/11914	---MCZ	200	added ('OK')	text/html	etag:%2201116a213dea26522de1b41ae28a0c0a-ssl-df%22	https://rcventures.co.in/milkcans.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/milkcans.html	(from https://rcventures.co.in/)
14:22:45	12608/12608	---MCZ	200	added ('OK')	text/html	etag:%22af616f1d92405edc62f62c76a9ff7100-ssl-df%22	https://rcventures.co.in/chillpads.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/chillpads.html	(from https://rcventures.co.in/)
14:22:46	14200/14200	---MCZ	200	added ('OK')	text/html	etag:%22d73e515c7a4a928500d08ff07ac6b239-ssl-df%22	https://rcventures.co.in/roto_pallet.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/roto_pallet.html	(from https://rcventures.co.in/)
14:22:47	12105/12105	---MCZ	200	added ('OK')	text/html	etag:%22d77628ba1cee5b385567e61e91d5a1a5-ssl-df%22	https://rcventures.co.in/injection_pallet.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/injection_pallet.html	(from https://rcventures.co.in/)
14:22:49	13703/13703	---MCZ	200	added ('OK')	text/html	etag:%2239075417dffef12cb147f5d9005a7059-ssl-df%22	https://rcventures.co.in/wastemanagement.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/wastemanagement.html	(from https://rcventures.co.in/)
14:22:50	15895/15895	---MCZ	200	added ('OK')	text/html	etag:%22a867fb034e6e86ecb35dbd5179e5b2fc-ssl-df%22	https://rcventures.co.in/mobilegrabagebins.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/mobilegrabagebins.html	(from https://rcventures.co.in/)
14:22:51	16454/16454	---MCZ	200	added ('OK')	text/html	etag:%220233fcf2cb719e824235143b49a2ea46-ssl-df%22	https://rcventures.co.in/freestandlitterbin.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/freestandlitterbin.html	(from https://rcventures.co.in/)
14:22:52	17325/17325	---MCZ	200	added ('OK')	text/html	etag:%22ae31927342f8b752605d448b85a0ceea-ssl-df%22	https://rcventures.co.in/contact.html	D:/RC_ventures/rc_clone_website/rc_clone_website/rcventures.co.in/contact.html	(from https://rcventures.co.in/)
